City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Rikitea,PF,75.78,broken clouds,-23.1203,-134.9692,People ThankYou
9,Tuni,IN,78.12,light rain,17.35,82.55,Sai Krishna Lodge
10,Kavaratti,IN,82.08,moderate rain,10.5669,72.642,Hotels in Lakshadweep Islands
14,Salalah,OM,82.49,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
19,Shaoyang,CN,79.84,scattered clouds,27.2315,111.4525,IU Hotel Shaoyang Xihu Road
23,Dongsheng,CN,79.83,broken clouds,39.8161,109.9776,Crowne Plaza Ordos
24,Vaini,TO,75.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
37,Hithadhoo,MV,82.92,broken clouds,-0.6,73.0833,Scoop Guest House
39,Kismayo,SO,76.75,broken clouds,-0.3582,42.5454,Agan-Hotel
40,Georgetown,MY,78.73,few clouds,5.4112,100.3354,Cititel Penang
41,Balkanabat,TM,86.63,clear sky,39.5108,54.3671,Nebitchi Hotel
50,Oriximina,BR,78.94,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
55,Boa Vista,BR,80.58,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
57,Atuona,PF,77.95,clear sky,-9.8,-139.0333,Villa Enata
58,Glens Falls,US,80.65,clear sky,43.3095,-73.644,Super 8 by Wyndham Queensbury Glens Falls/Lake George Area
61,Oistins,BB,80.69,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
62,Tautira,PF,78.37,overcast clouds,-17.7333,-149.15,Pension Oaoa
65,Hambantota,LK,80.82,overcast clouds,6.1241,81.1185,Bungalow 63
72,Miri,MY,78.94,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
74,Paka,MY,75.13,scattered clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
77,Mabaruma,GY,75.54,broken clouds,8.2,-59.7833,Monty Brooms Guest House
80,Port Jervis,US,79.48,broken clouds,41.3751,-74.6927,Hampton Inn Matamoras/Milford
81,Albany,US,79.45,clear sky,42.6001,-73.9662,
83,Kapaa,US,84.18,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
87,Hilo,US,82.26,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
95,Balikpapan,ID,79.79,few clouds,-1.2675,116.8289,Swiss-Belhotel Balikpapan
97,Lazaro Cardenas,MX,75.94,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
101,Kirakira,SB,84.47,scattered clouds,-10.4544,161.9205,SanBiz Lodge
102,Santa Catalina,PH,84.18,broken clouds,9.3337,122.8637,BreakWater Beach Sta Catalina Negros Oriental
106,Bengkulu,ID,75.13,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
108,Faanui,PF,78.4,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
109,Shanghai,CN,85.87,clear sky,31.2222,121.4581,Swissotel Grand Shanghai
115,Cabo San Lucas,MX,88.9,clear sky,22.8909,-109.9124,Tesoro Los Cabos Hotel
116,Sorbhog,IN,77.47,overcast clouds,26.5,90.8667,Parikhit house
117,Asyut,EG,86.27,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
118,Gunjur,GM,78.87,light thunderstorm,13.2019,-16.7339,Jallo Kurundingoto Eco Tourist Camp
119,Bubaque,GW,81.21,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
121,Broome,US,75.09,clear sky,42.2506,-75.833,Chenango Valley State Park
