City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Pevek,RU,69.7008,170.3133,38.01,83,82,12.1,broken clouds
1,Ribeira Grande,PT,38.5167,-28.7,64.78,80,10,13.78,clear sky
2,San Quintin,MX,30.4833,-115.95,74.52,59,8,14.99,clear sky
3,Thompson,CA,55.7435,-97.8558,66.36,32,75,5.75,broken clouds
4,San Cristobal,VE,7.7669,-72.225,66.38,99,95,3.56,overcast clouds
5,East London,ZA,-33.0153,27.9116,58.14,63,23,14.45,few clouds
6,Rikitea,PF,-23.1203,-134.9692,75.78,78,59,15.7,broken clouds
7,Saint George,US,37.1041,-113.5841,100.63,13,0,19.57,clear sky
8,Faya,SA,18.3851,42.4509,68.11,42,77,2.84,broken clouds
9,Tuni,IN,17.35,82.55,78.12,89,100,5.53,light rain
10,Kavaratti,IN,10.5669,72.642,82.08,80,100,24.02,moderate rain
11,Punta Arenas,CL,-53.15,-70.9167,39.31,87,75,18.41,broken clouds
12,Kaitangata,NZ,-46.2817,169.8464,51.67,77,100,5.03,moderate rain
13,Khatanga,RU,71.9667,102.5,54.45,73,98,9.57,overcast clouds
14,Salalah,OM,17.0151,54.0924,82.49,83,75,4.61,broken clouds
15,Busselton,AU,-33.65,115.3333,55.49,75,88,3.51,overcast clouds
16,Olafsvik,IS,64.8945,-23.7142,45.52,67,8,6.62,clear sky
17,Shellbrook,CA,53.2168,-106.4011,54.63,92,98,15.5,overcast clouds
18,Kruisfontein,ZA,-34.0033,24.7314,47.89,85,14,7.76,few clouds
19,Shaoyang,CN,27.2315,111.4525,79.84,80,28,5.21,scattered clouds
20,Vao,NC,-22.6667,167.4833,73.02,76,87,13.58,overcast clouds
21,Qaanaaq,GL,77.484,-69.3632,38.52,65,34,5.93,scattered clouds
22,Port Alfred,ZA,-33.5906,26.891,57.78,70,42,14.45,scattered clouds
23,Dongsheng,CN,39.8161,109.9776,79.83,24,83,12.46,broken clouds
24,Vaini,TO,-21.2,-175.2,75.36,73,75,10.36,broken clouds
25,Castro,BR,-24.7911,-50.0119,58.14,84,18,2.33,few clouds
26,San Patricio,US,28.017,-97.5169,91.54,47,1,16.71,clear sky
27,Taoudenni,ML,22.6783,-3.9836,100.53,12,28,13.87,scattered clouds
28,Natalio,PY,-26.7167,-55.0833,59.14,99,83,2.66,broken clouds
