City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Lesnoy,RU,2022-04-26 20:17:31,57.6198,63.0784,51.42,76,93,11.16
1,Rumoi,JP,2022-04-26 20:17:06,43.9344,141.6428,50.77,98,100,4.38
2,Mayor Pablo Lagerenza,PY,2022-04-26 20:17:32,-19.9309,-60.7718,100.89,24,100,15.77
3,Butaritari,KI,2022-04-26 20:17:32,3.0707,172.7902,81.01,83,35,19.19
4,Mataura,NZ,2022-04-26 20:17:33,-46.1927,168.8643,50.49,99,89,1.99
5,Nouakchott,MR,2022-04-26 20:13:55,18.0858,-15.9785,69.73,77,0,20.51
6,Tilichiki,RU,2022-04-26 20:17:33,60.4667,166.1,29.53,96,100,6.85
7,Barrow,US,2022-04-26 20:17:15,71.2906,-156.7887,8.62,85,100,13.8
8,Castro,BR,2022-04-26 20:17:34,-24.7911,-50.0119,73.15,75,50,3.78
9,Albany,US,2022-04-26 20:17:34,42.6001,-73.9662,54.54,86,100,1.52
10,Cabo San Lucas,MX,2022-04-26 20:16:26,22.8909,-109.9124,89.62,32,0,11.5
11,Sargans,CH,2022-04-26 20:17:35,47.049,9.441,50.77,84,95,1.3
12,Ushuaia,AR,2022-04-26 20:15:31,-54.8,-68.3,40.66,75,75,4.61
13,Kodiak,US,2022-04-26 20:17:36,57.79,-152.4072,45.91,53,100,11.5
14,Tasiilaq,GL,2022-04-26 20:17:10,65.6145,-37.6368,33.96,89,87,3.36
15,Northam,GB,2022-04-26 20:17:36,51.0333,-4.2167,52.61,60,24,6.85
16,Cape Town,ZA,2022-04-26 20:13:46,-33.9258,18.4232,60.91,73,0,11.99
17,Rikitea,PF,2022-04-26 20:17:37,-23.1203,-134.9692,78.15,74,100,22.57
18,Dikson,RU,2022-04-26 20:17:37,73.5069,80.5464,2.61,98,94,9.75
19,Turukhansk,RU,2022-04-26 20:17:38,65.8167,87.9833,10.83,95,22,4.07
20,Georgetown,MY,2022-04-26 20:15:41,5.4112,100.3354,80.53,89,20,5.75
21,Belaya Gora,RU,2022-04-26 20:17:38,68.5333,146.4167,10.09,94,100,5.91
22,Busselton,AU,2022-04-26 20:17:39,-33.65,115.3333,56.28,87,72,3.02
23,Luganville,VU,2022-04-26 20:17:39,-15.5333,167.1667,79.2,80,100,12.5
24,Noumea,NC,2022-04-26 20:16:03,-22.2763,166.4572,73.0,99,100,10.65
25,Yellowknife,CA,2022-04-26 20:15:33,62.456,-114.3525,46.92,46,20,9.22
26,Beringovskiy,RU,2022-04-26 20:17:40,63.05,179.3167,32.11,99,100,9.6
27,Vagur,FO,2022-04-26 20:17:41,61.4732,-6.8119,42.13,63,92,5.61
28,Hobart,AU,2022-04-26 20:15:03,-42.8794,147.3294,48.27,92,75,6.91
29,Avarua,CK,2022-04-26 20:17:41,-21.2078,-159.775,82.45,83,40,6.91
30,Saint-Philippe,RE,2022-04-26 20:17:00,-21.3585,55.7679,73.22,83,37,11.9
31,Punta Arenas,CL,2022-04-26 20:17:42,-53.15,-70.9167,42.91,61,40,9.22
32,Atuona,PF,2022-04-26 20:17:42,-9.8,-139.0333,79.27,72,25,23.15
33,Provideniya,RU,2022-04-26 20:17:43,64.3833,-173.3,28.96,81,44,8.66
34,Airai,TL,2022-04-26 20:17:43,-8.9266,125.4092,58.5,89,100,0.36
35,Bairiki,KI,2022-04-26 20:17:44,1.3292,172.9752,82.4,83,20,8.05
